tissue_template_masterfork

[OBJECT:TISSUE_TEMPLATE]

[TISSUE_TEMPLATE:MONSTER_TISSUE_SKIN_TEMPLATE]
	[TISSUE_NAME:skin:NP]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_TOOTH_TEMPLATE]
	[TISSUE_NAME:tooth:NP]
	[STRUCTURAL]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:TOOTH]
	[RELATIVE_THICKNESS:3]
	[HEALING_RATE:250]
	[VASCULAR:1]
	[PAIN_RECEPTORS:3]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_EYE_TEMPLATE]
	[TISSUE_NAME:eye:NP]
	[FUNCTIONAL]
	[STRUCTURAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:EYE]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:500]
	[VASCULAR:2]
	[PAIN_RECEPTORS:20]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_NERVE_TEMPLATE]
	[TISSUE_NAME:nerve:NP]
	[FUNCTIONAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:NERVE]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:750]
	[VASCULAR:2]
	[PAIN_RECEPTORS:50]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_BRAIN_TEMPLATE]
	[TISSUE_NAME:brain:NP]
	[FUNCTIONAL]
	[STRUCTURAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:BRAIN]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:750]
	[VASCULAR:50]
	[MAJOR_ARTERIES]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_LUNG_TEMPLATE]
	[TISSUE_NAME:lung:NP]
	[FUNCTIONAL]
	[STRUCTURAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:LUNG]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:500]
	[VASCULAR:20]
	[ARTERIES]
	[PAIN_RECEPTORS:18]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_HEART_TEMPLATE]
	[TISSUE_NAME:heart:NP]
	[FUNCTIONAL]
	[STRUCTURAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:HEART]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:500]
	[VASCULAR:125]
	[MAJOR_ARTERIES]
	[PAIN_RECEPTORS:30]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_LIVER_TEMPLATE]
	[TISSUE_NAME:liver:NP]
	[FUNCTIONAL]
	[STRUCTURAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:LIVER]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:500]
	[VASCULAR:20]
	[MAJOR_ARTERIES]
	[PAIN_RECEPTORS:50]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_GUT_TEMPLATE]
	[TISSUE_NAME:intestine:NP]
	[FUNCTIONAL]
	[STRUCTURAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:GUT]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:500]
	[VASCULAR:8]
	[PAIN_RECEPTORS:20]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_STOMACH_TEMPLATE]
	[TISSUE_NAME:stomach:NP]
	[FUNCTIONAL]
	[STRUCTURAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:STOMACH]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:500]
	[VASCULAR:8]
	[PAIN_RECEPTORS:10]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_GIZZARD_TEMPLATE]
	[TISSUE_NAME:gizzard:NP]
	[FUNCTIONAL]
	[STRUCTURAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:GIZZARD]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:500]
	[VASCULAR:8]
	[PAIN_RECEPTORS:20]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_PANCREAS_TEMPLATE]
	[TISSUE_NAME:pancreas:pancreases]
	[FUNCTIONAL]
	[STRUCTURAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:PANCREAS]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:500]
	[VASCULAR:8]
	[PAIN_RECEPTORS:8]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_SPLEEN_TEMPLATE]
	[TISSUE_NAME:spleen:NP]
	[FUNCTIONAL]
	[STRUCTURAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:SPLEEN]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:500]
	[VASCULAR:20]
	[ARTERIES]
	[PAIN_RECEPTORS:20]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_KIDNEY_TEMPLATE]
	[TISSUE_NAME:kidney:NP]
	[FUNCTIONAL]
	[STRUCTURAL]
	[SCARS]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:KIDNEY]
	[RELATIVE_THICKNESS:1]
	[HEALING_RATE:500]
	[VASCULAR:20]
	[PAIN_RECEPTORS:25]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]

[TISSUE_TEMPLATE:MONSTER_TISSUE_CHITIN_TEMPLATE]
	[TISSUE_NAME:carapace:NP]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:CHITIN]
	[RELATIVE_THICKNESS:2]
	[HEALING_RATE:150]
	[CONNECTS]
	[CONNECTIVE_TISSUE_ANCHOR]
	[STRUCTURAL]
	[TISSUE_SHAPE:LAYER]
	[SETTABLE]
	[SPLINTABLE]

[TISSUE_TEMPLATE:MONSTER_TISSUE_SPINE_TEMPLATE]
	[TISSUE_NAME:spine:NP]
	[STRUCTURAL]
	[TISSUE_MATERIAL:LOCAL_CREATURE_MAT:SPINE]
	[HEALING_RATE:750]
	[RELATIVE_THICKNESS:3]
	[PAIN_RECEPTORS:30]
	[CONNECTS]
	[TISSUE_SHAPE:LAYER]
